seed,model_name,latent_dim,l2_norm,figure_path,acc,map@5,recall@5,auroc,auprc,ausc,ece,expected_acc,expected_map@5,expected_recall@5,success_rate
44.00000,DUL,16,yes,https://github.com/simonmoesorensen/bayesian-laplace-metric-learning/tree/main/results/DUL/figures/CIFAR10/latentdim_16_seed_44/epoch_500,0.195 ± 0.154,0.299 ± 0.15,0.509 ± 0.17,0.533 ± 0.164,0.741 ± 0.081,0.279 ± 0.109,0.077 ± 0.013,0.17 ± 0.158,0.245 ± 0.175,0.396 ± 0.224,1.00000
42.00000,HIB,16,yes,https://github.com/simonmoesorensen/bayesian-laplace-metric-learning/tree/main/results/HIB/figures/CIFAR10/latentdim_16_seed_42/epoch_500,0.254 ± 0.208,0.301 ± 0.177,0.43 ± 0.092,0.638 ± 0.192,0.884 ± 0.039,0.255 ± 0.184,0.045 ± 0.033,0.101 ± 0.001,0.182 ± 0.031,0.382 ± 0.085,1.00000
42.00000,MCDropout,16,yes,https://github.com/simonmoesorensen/bayesian-laplace-metric-learning/tree/main/results/MCDropout/figures/CIFAR10/latentdim_16_seed_42/epoch_500,0.569 ± 0.008,0.631 ± 0.005,0.764 ± 0.005,0.53 ± 0.041,0.695 ± 0.028,0.719 ± 0.008,0.171 ± 0.007,0.488 ± 0.018,0.505 ± 0.016,0.55 ± 0.017,1.00000
44.00000,PFE,16,yes,https://github.com/simonmoesorensen/bayesian-laplace-metric-learning/tree/main/results/PFE/figures/CIFAR10/latentdim_16_seed_44/epoch_500,0.594 ± 0.007,0.652 ± 0.007,0.777 ± 0.007,0.733 ± 0.023,0.837 ± 0.019,0.736 ± 0.008,0.16 ± 0.015,0.498 ± 0.032,0.567 ± 0.033,0.711 ± 0.05,1.00000
44.00000,PostHoc (fixed),16,yes,https://github.com/simonmoesorensen/bayesian-laplace-metric-learning/tree/main/results/PostHoc/figures/CIFAR10/fixed_16_seed_44/epoch_1,0.595 ± 0.007,0.653 ± 0.007,0.777 ± 0.007,0.465 ± 0.034,0.658 ± 0.019,0.733 ± 0.009,0.257 ± 0.001,0.55 ± 0.032,0.614 ± 0.019,0.748 ± 0.011,1.00000
44.00000,PostHoc (full),16,yes,https://github.com/simonmoesorensen/bayesian-laplace-metric-learning/tree/main/results/PostHoc/figures/CIFAR10/full_16_seed_44/epoch_1,0.595 ± 0.007,0.653 ± 0.007,0.777 ± 0.007,0.456 ± 0.031,0.653 ± 0.017,0.732 ± 0.009,0.233 ± 0.001,0.555 ± 0.04,0.622 ± 0.024,0.757 ± 0.013,1.00000
44.00000,PostHoc (positives),16,yes,https://github.com/simonmoesorensen/bayesian-laplace-metric-learning/tree/main/results/PostHoc/figures/CIFAR10/positives_16_seed_44/epoch_1,0.595 ± 0.007,0.653 ± 0.007,0.777 ± 0.007,0.456 ± 0.031,0.653 ± 0.017,0.732 ± 0.009,0.278 ± 0.001,0.554 ± 0.041,0.622 ± 0.024,0.757 ± 0.012,1.00000
45.00000,DUL,32,yes,https://github.com/simonmoesorensen/bayesian-laplace-metric-learning/tree/main/results/DUL/figures/CIFAR10/latentdim_32_seed_45/epoch_500,0.184 ± 0.172,0.29 ± 0.169,0.516 ± 0.164,0.531 ± 0.105,0.695 ± 0.119,0.265 ± 0.115,0.1 ± 0.046,0.178 ± 0.174,0.267 ± 0.182,0.479 ± 0.191,1.00000
44.00000,HIB,32,yes,https://github.com/simonmoesorensen/bayesian-laplace-metric-learning/tree/main/results/HIB/figures/CIFAR10/latentdim_32_seed_44/epoch_500,0.463 ± 0.019,0.476 ± 0.019,0.503 ± 0.018,0.875 ± 0.036,0.939 ± 0.019,0.448 ± 0.019,0.015 ± 0.005,0.101 ± 0.001,0.18 ± 0.038,0.347 ± 0.109,1.00000
46.00000,MCDropout,32,yes,https://github.com/simonmoesorensen/bayesian-laplace-metric-learning/tree/main/results/MCDropout/figures/CIFAR10/latentdim_32_seed_46/epoch_500,0.552 ± 0.007,0.62 ± 0.004,0.767 ± 0.002,0.508 ± 0.047,0.681 ± 0.028,0.691 ± 0.011,0.139 ± 0.004,0.414 ± 0.023,0.438 ± 0.025,0.501 ± 0.04,1.00000
43.00000,PFE,32,yes,https://github.com/simonmoesorensen/bayesian-laplace-metric-learning/tree/main/results/PFE/figures/CIFAR10/latentdim_32_seed_43/epoch_500,0.583 ± 0.008,0.644 ± 0.005,0.779 ± 0.007,0.656 ± 0.05,0.778 ± 0.039,0.713 ± 0.016,0.148 ± 0.011,0.521 ± 0.044,0.582 ± 0.04,0.721 ± 0.033,1.00000
